기업명,종목코드,사업연도,보고서구분,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,부채비율,영업이익률,순이익률,매출성장률,영업이익성장률
미래에셋증권,6800,2023,사업보고서,20359463366897,521036811624,337857808122,128177312090956,116938445976567,11238866114389,10.40482596610453,0.02559187352998546,0.016594632286395728,0.0,0.0
미래에셋증권,6800,2024,사업보고서,22242327609027,1188076348199,925470295452,137176998056307,124913289504539,12263708551768,10.185604866362455,0.05341510875493183,0.04160851830437026,0.09248103489757975,1.2802157576850082
삼성SDI,6400,2022,사업보고서,20124069515854,1808013013202,2039361447986,30257525171127,13040023014999,17217502156128,0.7573701978807557,0.08984330986223359,0.10133941578662134,0.0,0.0
삼성SDI,6400,2023,사업보고서,22708300498633,1633368964768,2066046562201,34038860192967,14131610215445,19907249977522,0.7098725454998313,0.07192827859867039,0.09098199851307114,0.1284149302278601,-0.09659446428690499
삼성SDI,6400,2024,사업보고서,16592248884388,363304463263,575512415979,40597344536357,19030107423830,21567237112527,0.8823618586164035,0.02189603505796257,0.03468561856738491,-0.26933110272224803,-0.77757354823097
삼성SDS,18260,2022,사업보고서,17234749537662,916074023314,1130012585621,11952424889489,3485454954575,8466969934914,0.41165316298130944,0.05315273200298976,0.06556594182884153,0.0,0.0
삼성SDS,18260,2023,사업보고서,13276844204872,808230946594,701325761022,12321024561023,3345453419084,8975571141939,0.37272875075906076,0.060875230146740435,0.05282322743266395,-0.2296468146601749,-0.11772310312857215
삼성SDS,18260,2024,사업보고서,13828232033800,911096907001,789501325293,13238330251696,3532880772221,9705449479475,0.3640100110450634,0.06588672396977638,0.0570934392309329,0.04153003683854828,0.12727297914103852
삼성물산,28260,2022,사업보고서,43161653399535,2528524413589,2544956968509,58981492466950,27017371086433,31964121380517,0.8452405359372969,0.05858265878239597,0.058963379946339545,0.0,0.0
삼성물산,28260,2023,사업보고서,41895681215734,2870173816853,2719106116709,66127029212679,26229919730957,39897109481722,0.6574390995160607,0.06850762975003498,0.06490182371561093,-0.029330947359274218,0.13511809552950327
삼성물산,28260,2024,사업보고서,42103238027336,2983396694918,2772012091811,61990426835548,24731886937019,37258539898529,0.6637910933808611,0.07085907960287986,0.06583845380279874,0.004954133829050855,0.03944809105294644
삼성바이오,207940,2022,사업보고서,3001295197683,983627394377,798056210082,16582050258486,7597575863329,8984474395157,0.845633871183873,0.32773430455503355,0.26590393730616685,0.0,0.0
삼성바이오,207940,2023,사업보고서,3694588767068,1113680009715,857691298384,16046197209196,6215704796851,9830492412345,0.6322882451997421,0.3014354451683154,0.2321479743643182,0.23099812704868983,0.13221735799699985
삼성바이오,207940,2024,사업보고서,4547322176421,1320052380133,1083315885986,17336296349511,6431620287493,10904676062018,0.5898038832987375,0.29029224869480347,0.23823161059562992,0.23080604178573383,0.18530670265942217
삼성생명,32830,2023,사업보고서,0,2398377000000,2033709000000,314655050000000,270317609000000,44337441000000,6.0968247806633675,0.0,0.0,0.0,0.0
삼성생명,32830,2024,사업보고서,0,2499751000000,2260255000000,312218844000000,279480913000000,32737931000000,8.536914351734689,0.0,0.0,0.0,0.042267750232761525
삼성엔지니어링,28050,2022,사업보고서,10054344625186,702942994188,595319035026,7848723222714,5271682815759,2577040406955,2.0456345199445116,0.06991435249067722,0.059210128279742244,0.0,0.0
삼성엔지니어링,28050,2023,사업보고서,10624917993595,993128866188,695607943011,7801398613122,4503060317148,3298338295974,1.365251200170856,0.09347167354954514,0.06546948818149298,0.05674893687050675,0.41281565418431443
삼성엔지니어링,28050,2024,사업보고서,9966551344477,971611686017,638672451980,10013337796132,6117596009939,3895741786193,1.5703289246788716,0.09748725034717472,0.06408158949925268,-0.061964398173697144,-0.02166605050318493
삼성전기,9150,2022,사업보고서,9424551868027,1182835924271,993519182170,10997170898641,3303686219356,7693484679285,0.42941350468290407,0.12550580025813185,0.10541818816240332,0.0,0.0
삼성전기,9150,2023,사업보고서,8909448483915,639423737120,450482125173,11657871601848,3627546626400,8030324975448,0.4517309869140912,0.07176917160185696,0.050562290806921935,-0.054655477663558716,-0.45941467958534765
삼성전기,9150,2024,사업보고서,10294102976435,735005856995,703215637082,12792402920884,3776548889114,9015854031770,0.4188786637190692,0.07140067072163128,0.06831247352894987,0.15541416452655143,0.14948165719575446
